dataset,masking_rate,strategy,train_accuracy_mean,train_accuracy_std,train_accuracy_min,train_accuracy_max,train_f1_mean,train_f1_std,train_f1_min,train_f1_max,test_accuracy_mean,test_accuracy_std,test_accuracy_min,test_accuracy_max,test_f1_mean,test_f1_std,test_f1_min,test_f1_max,gap_accuracy_mean,gap_accuracy_std,gap_f1_mean,gap_f1_std,train_confusion_matrix,test_confusion_matrix
TITANIC,0,default,0.9032022471910112,0.007609404874570234,0.8834269662921348,0.9171348314606742,0.9018157532050989,0.008075192554227822,0.8790754063382725,0.9165903371806986,0.8000000000000002,0.020602333982777405,0.770949720670391,0.8547486033519553,0.7966287634595025,0.020956337881904975,0.7617687031802973,0.8543348639470888,0.10320224719101123,0.02068815562254494,0.10518698974559643,0.020972293037742857,"[[10508, 467], [1256, 5569]]","[[2414, 336], [559, 1166]]"
TITANIC,0,trivial,0.9207303370786518,0.010420401846841865,0.9044943820224719,0.9396067415730337,0.9196320300848284,0.010633321223558881,0.9042806623002181,0.9386960718747771,0.8011173184357542,0.023437069232852555,0.7486033519553073,0.8435754189944135,0.7988678796700088,0.02322617297827899,0.7437017300211776,0.8401720927245874,0.11961301864289747,0.027962758973027534,0.1207641504148194,0.027567431379347147,"[[10661, 314], [1097, 5728]]","[[2379, 371], [519, 1206]]"
TITANIC,0,surrogate,0.8882584269662921,0.014028529734411916,0.8595505617977528,0.9171348314606742,0.886484296817387,0.014712975029157211,0.8567466952487887,0.9163704059389138,0.7769832402234637,0.02653107857815569,0.7262569832402235,0.8268156424581006,0.773448749570308,0.026277942019755057,0.7196589541323998,0.8226413791449877,0.11127518674282846,0.02737416790468533,0.11303554724707915,0.027029602788317203,"[[10400, 575], [1414, 5411]]","[[2357, 393], [605, 1120]]"
TITANIC,0,impute,0.9032022471910112,0.007609404874570234,0.8834269662921348,0.9171348314606742,0.9018157532050989,0.008075192554227822,0.8790754063382725,0.9165903371806986,0.8000000000000002,0.020602333982777405,0.770949720670391,0.8547486033519553,0.7966287634595025,0.020956337881904975,0.7617687031802973,0.8543348639470888,0.10320224719101123,0.02068815562254494,0.10518698974559643,0.020972293037742857,"[[10508, 467], [1256, 5569]]","[[2414, 336], [559, 1166]]"
TITANIC,0.25,default,0.8873595505617976,0.007172553558878487,0.875,0.9002808988764045,0.8860758902981023,0.007474295252186748,0.8722889021285816,0.8990783212097841,0.7843575418994413,0.03257515025053242,0.7206703910614525,0.8491620111731844,0.7801775020688971,0.03351032499378523,0.7118224956963526,0.8462210380127065,0.10300200866235641,0.0356390290549674,0.10589838822920516,0.03664783354917768,"[[10304, 671], [1334, 5491]]","[[2383, 367], [598, 1127]]"
TITANIC,0.25,trivial,0.8985955056179776,0.01679765886261354,0.8525280898876404,0.9339887640449438,0.896894881110457,0.017690641827025844,0.8486151684105585,0.9334395270650286,0.7946368715083798,0.024288765593957463,0.7541899441340782,0.8379888268156425,0.7917962639082166,0.024599048877019386,0.7488418599957802,0.8348300037914255,0.10395863410959763,0.02831389682596259,0.10509861720224072,0.02892803616518395,"[[10509, 466], [1339, 5486]]","[[2380, 370], [549, 1176]]"
TITANIC,0.25,surrogate,0.8635393258426965,0.018332520363163376,0.8174157303370787,0.8960674157303371,0.8621298080499618,0.01834096398961419,0.8151243080408276,0.894659546285918,0.7749720670391063,0.034348047922952984,0.7094972067039106,0.8379888268156425,0.7722370133079592,0.03428102696412265,0.7118645150418295,0.8348300037914255,0.08856725880359048,0.03546769589950791,0.08989279474200246,0.03631719424144986,"[[10048, 927], [1502, 5323]]","[[2320, 430], [577, 1148]]"
TITANIC,0.25,impute,0.8873595505617976,0.007172553558878487,0.875,0.9002808988764045,0.8860758902981023,0.007474295252186748,0.8722889021285816,0.8990783212097841,0.7843575418994413,0.03257515025053242,0.7206703910614525,0.8491620111731844,0.7801775020688971,0.03351032499378523,0.7118224956963526,0.8462210380127065,0.10300200866235641,0.0356390290549674,0.10589838822920516,0.03664783354917768,"[[10304, 671], [1334, 5491]]","[[2383, 367], [598, 1127]]"
TITANIC,0.5,default,0.864494382022472,0.00994810420002722,0.8398876404494382,0.8848314606741573,0.863643509570959,0.010145342315846415,0.8386266676549561,0.8844055987901369,0.7774301675977654,0.020883993729530415,0.7318435754189944,0.8268156424581006,0.774511762110697,0.02133724811700961,0.7282971071856694,0.8226413791449877,0.08706421442470652,0.024259251465590808,0.08913174746026192,0.025160258984458637,"[[9968, 1007], [1405, 5420]]","[[2335, 415], [581, 1144]]"
TITANIC,0.5,trivial,0.8958988764044943,0.013099167275448772,0.8693820224719101,0.9283707865168539,0.8948014707059885,0.013257116218479931,0.8685237518272028,0.9277100119132984,0.7948603351955308,0.031105631537529047,0.7374301675977654,0.8379888268156425,0.7928888256848521,0.03130134919818209,0.7334304240352248,0.8377640862774867,0.10103854120896365,0.034778615732242,0.10191264502113627,0.03495727689093822,"[[10356, 619], [1234, 5591]]","[[2357, 393], [525, 1200]]"
TITANIC,0.5,surrogate,0.823932584269663,0.015874539677530452,0.797752808988764,0.8567415730337079,0.8231384288722324,0.015286026606409934,0.8000194176458222,0.8552202446057472,0.7662569832402235,0.026707416613771906,0.7039106145251397,0.8324022346368715,0.7640132311590624,0.02626963200963976,0.7034998818174757,0.8287558136334865,0.057675601029439465,0.0287779568081282,0.05912519771316983,0.02875261050053415,"[[9532, 1443], [1691, 5134]]","[[2286, 464], [582, 1143]]"
TITANIC,0.5,impute,0.864494382022472,0.00994810420002722,0.8398876404494382,0.8848314606741573,0.863643509570959,0.010145342315846415,0.8386266676549561,0.8844055987901369,0.7774301675977654,0.020883993729530415,0.7318435754189944,0.8268156424581006,0.774511762110697,0.02133724811700961,0.7282971071856694,0.8226413791449877,0.08706421442470652,0.024259251465590808,0.08913174746026192,0.025160258984458637,"[[9968, 1007], [1405, 5420]]","[[2335, 415], [581, 1144]]"
ADULT,0,default,0.9236,0.007351190379795656,0.9125,0.9375,0.9228688234690213,0.007794839246644832,0.9103214167676544,0.9372617871259176,0.8062,0.023421357774475817,0.76,0.845,0.8058396231204664,0.022572864592170935,0.7539209006073174,0.8466850733390855,0.1174,0.02762679858398362,0.11702920034855512,0.026805542687144503,"[[14685, 665], [863, 3787]]","[[3366, 484], [485, 665]]"
ADULT,0,trivial,0.9229999999999999,0.009848857801796111,0.9025,0.945,0.9215066306653104,0.01057635859400007,0.8993862438289681,0.9445735979231125,0.8079999999999999,0.028705400188814626,0.74,0.865,0.8056585590397813,0.02853958832425346,0.74,0.8644766883601835,0.11499999999999998,0.03522782990761705,0.11584807162552899,0.03559372802033418,"[[14793, 557], [983, 3667]]","[[3403, 447], [513, 637]]"
ADULT,0,surrogate,0.9227,0.007942606625031871,0.91125,0.93875,0.9220278969673505,0.008353910991108559,0.9103214167676544,0.9385756507037044,0.8056,0.023294634575369472,0.755,0.845,0.8053821249971641,0.022404575239089116,0.7499166391245272,0.8431352288738755,0.11710000000000001,0.027838193188495543,0.11664577197018636,0.026989078114902535,"[[14664, 686], [860, 3790]]","[[3362, 488], [484, 666]]"
ADULT,0,impute,0.9236,0.007351190379795656,0.9125,0.9375,0.9228688234690213,0.007794839246644832,0.9103214167676544,0.9372617871259176,0.8062,0.023421357774475817,0.76,0.845,0.8058396231204664,0.022572864592170935,0.7539209006073174,0.8466850733390855,0.1174,0.02762679858398362,0.11702920034855512,0.026805542687144503,"[[14685, 665], [863, 3787]]","[[3366, 484], [485, 665]]"
ADULT,0.25,default,0.9055500000000001,0.008573797291748855,0.8825,0.92125,0.9030283885907449,0.009739227256139155,0.8756758424945811,0.9188293312551751,0.8039999999999999,0.026153393661244022,0.77,0.89,0.8009105215691099,0.027058942680764295,0.7610434165385069,0.8861543098251959,0.10154999999999997,0.028291518163576855,0.10211786702163485,0.02922785937197757,"[[14700, 650], [1239, 3411]]","[[3399, 451], [529, 621]]"
ADULT,0.25,trivial,0.9227,0.008482924024179411,0.9025,0.93625,0.9210393585119303,0.00956940918312057,0.8959869277179701,0.9370912977626105,0.8106,0.020799999999999978,0.755,0.865,0.807516541584402,0.022216027469925154,0.7451947854509521,0.8664676445211389,0.11209999999999999,0.022865694828716653,0.11352281692752822,0.02389419493487204,"[[14806, 544], [1002, 3648]]","[[3417, 433], [514, 636]]"
ADULT,0.25,surrogate,0.89605,0.007447147104764342,0.87875,0.9075,0.8946565958492252,0.00825682575646886,0.8764106149376067,0.9086441003491221,0.8044,0.026165626306282046,0.77,0.89,0.8014788364280535,0.02721869582640492,0.7570625,0.8861543098251959,0.09165,0.029963978374041036,0.09317775942117165,0.03065657360164119,"[[14451, 899], [1180, 3470]]","[[3397, 453], [525, 625]]"
ADULT,0.25,impute,0.9055500000000001,0.008573797291748855,0.8825,0.92125,0.9030283885907449,0.009739227256139155,0.8756758424945811,0.9188293312551751,0.8039999999999999,0.026153393661244022,0.77,0.89,0.8009105215691099,0.027058942680764295,0.7610434165385069,0.8861543098251959,0.10154999999999997,0.028291518163576855,0.10211786702163485,0.02922785937197757,"[[14700, 650], [1239, 3411]]","[[3399, 451], [529, 621]]"
ADULT,0.5,default,0.89335,0.013279307210844998,0.85125,0.91375,0.888292531159985,0.016243600996260488,0.8328860833192473,0.9108914001010904,0.7977999999999998,0.030035978425881172,0.73,0.85,0.7931720229834066,0.030143607784139232,0.7319899874843554,0.8488172043010752,0.09555,0.0342747720634288,0.09512050817657863,0.035847127260717634,"[[14779, 571], [1562, 3088]]","[[3404, 446], [565, 585]]"
ADULT,0.5,trivial,0.92055,0.00785079613797226,0.90125,0.93375,0.918949696053715,0.008630491374054403,0.8979771102606686,0.9345140826251936,0.805,0.016911534525287736,0.76,0.84,0.8026823305808386,0.01712990895042466,0.7649628328152452,0.841179251842581,0.11555,0.021181005641848046,0.1162673654728764,0.021188330323855056,"[[14778, 572], [1017, 3633]]","[[3391, 459], [516, 634]]"
ADULT,0.5,surrogate,0.8682000000000001,0.01000674772341145,0.84875,0.88875,0.8648945313219041,0.01207159271470129,0.8374956408292777,0.8870840741767342,0.7959999999999999,0.029189039038652834,0.73,0.845,0.7915877501596591,0.029246663117760682,0.7319899874843554,0.8431352288738755,0.0722,0.03125755908576356,0.07330678116224491,0.03198952332735998,"[[14293, 1057], [1579, 3071]]","[[3396, 454], [566, 584]]"
ADULT,0.5,impute,0.89335,0.013279307210844998,0.85125,0.91375,0.888292531159985,0.016243600996260488,0.8328860833192473,0.9108914001010904,0.7977999999999998,0.030035978425881172,0.73,0.85,0.7931720229834066,0.030143607784139232,0.7319899874843554,0.8488172043010752,0.09555,0.0342747720634288,0.09512050817657863,0.035847127260717634,"[[14779, 571], [1562, 3088]]","[[3404, 446], [565, 585]]"
CARSALES,0,default,0.7237368421052632,0.018853862841452983,0.6934210526315789,0.7578947368421053,0.7227034430010109,0.01886295459166133,0.6928947750389511,0.7563064978224046,0.45242105263157895,0.031029607878556135,0.4,0.5105263157894737,0.446413832147516,0.030695242800822267,0.39875161436350803,0.5103490351103894,0.27131578947368423,0.031416247538786087,0.2762896108534949,0.03165497559797502,"[[5227, 879, 1019], [1309, 4325, 1016], [563, 463, 4199]]","[[837, 576, 387], [607, 573, 470], [267, 294, 739]]"
CARSALES,0,trivial,0.7259473684210525,0.01835899320711644,0.6815789473684211,0.7605263157894737,0.7245188431083693,0.01821481796056846,0.6805835010060363,0.7597768073750606,0.4450526315789473,0.0334226688378377,0.35789473684210527,0.5210526315789473,0.43888494311893916,0.03298078833443426,0.3584054869590023,0.5202286176582381,0.2808947368421053,0.04174039276062977,0.28563389998943,0.041538976050751214,"[[4924, 1164, 1037], [1022, 4504, 1124], [378, 482, 4365]]","[[754, 645, 401], [572, 603, 475], [220, 323, 757]]"
CARSALES,0,surrogate,0.7174736842105264,0.017729578397088414,0.6868421052631579,0.7486842105263158,0.7169360779668201,0.017869556287443526,0.6857880147063042,0.7474687278734954,0.4538947368421053,0.035299431461368394,0.39473684210526316,0.5421052631578948,0.44814781356232986,0.03548392038811852,0.3966929242626466,0.5412102478552819,0.2635789473684211,0.038454779717253515,0.26878826440449033,0.03830183439767132,"[[4869, 1202, 1054], [1076, 4523, 1051], [351, 634, 4240]]","[[763, 657, 380], [559, 629, 462], [210, 326, 764]]"
